Date,Open,High,Low,Close,Adj Close,Volume
2017-02-09,88.330002,88.779999,88.029999,88.669998,82.473038,9914100
2017-02-10,88.559998,88.730003,87.970001,87.970001,81.821983,11057600
2017-02-13,88.040001,88.360001,87.639999,88.309998,82.138206,6905100
2017-02-14,88.000000,88.220001,87.230003,87.860001,81.719658,17199500
2017-02-15,89.809998,91.150002,89.809998,91.120003,84.751823,25847700
2017-02-16,90.919998,91.120003,90.540001,90.790001,84.444893,12408500
2017-02-17,90.610001,91.360001,90.449997,91.089996,84.723915,12152400
2017-02-21,90.580002,91.800003,90.580002,91.669998,85.263397,9018700
2017-02-22,91.449997,91.800003,91.250000,91.440002,85.049461,6749900
2017-02-23,91.610001,91.800003,90.910004,91.129997,84.761108,7611600
2017-02-24,90.970001,91.339996,90.669998,91.050003,84.686729,6643400
2017-02-27,90.529999,90.910004,90.059998,90.889999,84.537903,11840300
2017-02-28,90.900002,91.790001,90.650002,91.070000,84.705322,10535600
2017-03-01,91.050003,91.889999,90.709999,91.660004,85.254082,8792200
2017-03-02,91.400002,91.589996,90.879997,90.910004,84.556511,7031200
2017-03-03,90.910004,90.910004,89.889999,90.500000,84.175156,8334900
2017-03-06,89.889999,90.510002,89.589996,90.370003,84.054237,9533800
2017-03-07,90.139999,90.489998,90.059998,90.290001,83.979828,5363000
2017-03-08,90.019997,90.349998,89.760002,90.139999,83.840317,5503700
2017-03-09,90.139999,90.489998,90.099998,90.339996,84.026344,5587400
2017-03-10,90.800003,91.160004,90.650002,91.070000,84.705322,6797800
2017-03-13,91.059998,91.489998,90.849998,91.309998,84.928535,7397500
2017-03-14,91.260002,91.589996,90.820000,91.000000,84.640205,6686400
2017-03-15,91.000000,91.779999,90.730003,91.400002,85.012245,7855300
2017-03-16,91.440002,91.720001,91.099998,91.440002,85.049461,6601200
2017-03-17,91.449997,92.000000,90.919998,91.000000,84.640205,37010100
2017-03-20,90.959999,91.410004,90.940002,91.220001,84.844833,7772900
2017-03-21,91.300003,91.750000,91.029999,91.190002,84.816940,8211000
2017-03-22,91.309998,91.800003,90.750000,90.989998,84.630913,7798000
2017-03-23,90.910004,91.459999,90.599998,90.769997,84.426277,6831400
2017-03-24,90.769997,90.919998,90.209999,90.570000,84.240257,9252000
2017-03-27,90.449997,90.720001,90.180000,90.489998,84.165848,10072000
2017-03-28,90.169998,91.059998,90.129997,90.760002,84.417000,11855800
